game_id,draw_id,machine_id,ball_set_id,venue_id,source_record_id,draw_local_datetime,timezone,draw_datetime_utc,city,country,latitude,longitude,temperature_c,main_numbers,bonus_numbers,weather_observed_at,weather_match_difference,record_status,source_confidence,retrieved_at,schema_version,time_basis,location_confidence
2,THUNDERBALL-3900,Excalibur5,T4,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3900,2026-05-08T20:00:00+01:00,Europe/London,2026-05-08T19:00:00+00:00,London,GB,51.5074,-0.1278,16.2,"11, 14, 22, 31, 32",3,2026-05-08T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3899,Excalibur5,T4,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3899,2026-05-06T20:00:00+01:00,Europe/London,2026-05-06T19:00:00+00:00,London,GB,51.5074,-0.1278,11.9,"2, 12, 19, 24, 39",12,2026-05-06T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3898,Excalibur5,T4,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3898,2026-05-05T20:00:00+01:00,Europe/London,2026-05-05T19:00:00+00:00,London,GB,51.5074,-0.1278,14.3,"1, 2, 21, 33, 37",9,2026-05-05T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3897,Excalibur5,T3,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3897,2026-05-02T20:00:00+01:00,Europe/London,2026-05-02T19:00:00+00:00,London,GB,51.5074,-0.1278,15.5,"8, 12, 24, 28, 35",12,2026-05-02T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3896,Excalibur5,T3,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3896,2026-05-01T20:00:00+01:00,Europe/London,2026-05-01T19:00:00+00:00,London,GB,51.5074,-0.1278,19.7,"3, 12, 22, 34, 35",8,2026-05-01T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3895,Excalibur5,T3,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3895,2026-04-29T20:00:00+01:00,Europe/London,2026-04-29T19:00:00+00:00,London,GB,51.5074,-0.1278,14.1,"1, 23, 26, 29, 37",13,2026-04-29T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3894,Excalibur5,T3,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3894,2026-04-28T20:00:00+01:00,Europe/London,2026-04-28T19:00:00+00:00,London,GB,51.5074,-0.1278,13,"4, 12, 20, 35, 37",10,2026-04-28T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3893,Excalibur4,T2,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3893,2026-04-25T20:00:00+01:00,Europe/London,2026-04-25T19:00:00+00:00,London,GB,51.5074,-0.1278,19.1,"10, 16, 19, 22, 35",4,2026-04-25T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3892,Excalibur4,T2,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3892,2026-04-24T20:00:00+01:00,Europe/London,2026-04-24T19:00:00+00:00,London,GB,51.5074,-0.1278,14.5,"3, 4, 23, 28, 31",4,2026-04-24T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3891,Excalibur4,T2,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3891,2026-04-22T20:00:00+01:00,Europe/London,2026-04-22T19:00:00+00:00,London,GB,51.5074,-0.1278,12.9,"11, 18, 23, 30, 33",11,2026-04-22T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
